Simu,DiasGain,DataInicio,DataFinal,InvIni,Saque,DrawdownPerct,DrawdownDate,RScontrato,MelhorDia,PiorDia,MelhorMes,PiorMes,MelhorMed10Dia,SQN,NroRobos,R2geral,AcertoGeral,MargemMin
N697568297,100,20230928,20241203,5700,1763,39,20240515,300,1202,-1193,3494,-705,418,3.8,19,9.933,65.9,61
N985030397,100,20231023,20241203,5100,1586,43,20240515,300,1148,-1065,2997,-34,324,3.6,17,9.932,66.4,57
N258858297,100,20230924,20241203,5400,1771,40,20240515,300,1497,-1186,3728,-138,381,3.6,18,9.932,64.2,60
N020958297,100,20230925,20241203,5400,1768,40,20240515,300,1497,-1186,3728,-138,381,3.6,18,9.931,64.2,60
N341980397,100,20231113,20241203,9300,3157,49,20240515,300,1722,-1702,5673,0,679,4.1,31,9.931,63.5,51
N593958297,100,20230925,20241203,5400,1766,43,20240515,300,1493,-1193,3695,-347,403,3.5,18,9.929,65.5,57
N129268297,100,20230927,20241203,5700,1767,38,20240515,300,1507,-1186,3723,-612,408,3.7,19,9.927,63.9,62
N522628297,100,20230922,20241203,5400,1822,40,20240105,300,1613,-1188,4138,0,349,3.5,18,9.923,63,60
N551820397,100,20231022,20241203,5100,1376,36,20240515,300,859,-994,2927,-351,298,3.6,17,9.921,65.7,64
N632998297,100,20231002,20241203,5100,1646,42,20240515,300,1192,-1062,3497,-316,323,3.6,17,992,65.6,58
N763839297,100,20231012,20241203,4200,1423,41,20240515,300,1213,-835,2974,0,262,3.3,14,9.916,63.6,59
N234339297,100,20231008,20241203,4800,1330,38,20240514,300,1293,-879,2681,0,282,3.2,16,9.914,64.7,62
N647798297,100,20231001,20241203,5400,1823,47,20240515,300,1323,-1201,3468,-562,442,3.4,18,991,65.3,53
N818199297,100,20231020,20241203,4500,1469,46,20240515,300,1227,-1013,3268,0,306,3.3,15,9.909,66.7,54
N240209297,100,20231004,20241203,4800,1459,34,20240801,300,1289,-938,3335,0,308,3.4,16,9.908,65.1,66
N159539297,100,20231010,20241203,4500,1332,37,20240801,300,1155,-879,2623,0,298,3.4,15,9.906,67.5,63
N857439297,100,20231009,20241203,4500,1323,37,20240801,300,1155,-879,2623,0,298,3.4,15,9.906,67.3,63
N765009297,100,20231003,20241203,5100,1563,46,20240508,300,1091,-1066,3217,-343,334,3.5,17,9.902,65.9,54
N135199297,100,20231019,20241203,4800,1615,41,20240515,300,875,-1060,3893,-70,299,3.9,16,0.99,61.6,59
N897479297,100,20231017,20241203,4800,1568,41,20240515,300,875,-1060,3928,-810,299,3.7,16,9.899,61.2,59
N285350397,100,20231101,20241203,11100,3993,34,20240815,300,2749,-2413,8588,0,790,3.4,37,9.897,62.6,66
N145050397,100,20231101,20241203,11400,4021,33,20240509,300,2749,-2413,8872,0,801,3.4,38,9.895,61.9,67
N657030397,100,20231023,20241203,5100,1746,49,20240515,300,1267,-1123,3593,-440,396,3.5,17,9.893,62.1,51
N848579297,100,20231017,20241203,4800,1655,49,20231106,300,1336,-976,3807,-1157,330,3.1,16,9.892,60.5,51
N876030397,100,20231023,20241203,5100,1358,39,20240515,300,1029,-997,2746,-659,311,3.3,17,9.888,62.8,61
N446009297,100,20231003,20241203,5100,1312,44,20241014,300,1009,-1015,2638,-645,336,3.8,17,9.888,62.4,56
N749199297,100,20231020,20241203,4500,1242,43,20240515,300,905,-999,2996,-500,302,3.4,15,9.886,65.9,57
N590820397,100,20231022,20241203,5100,1617,44,20240515,300,926,-1066,3706,-284,364,3.9,17,9.885,63.2,56
N116550397,100,20231102,20241203,10800,4128,43,20240823,300,2891,-2484,8549,-560,770,3.6,36,9.883,61.4,57
N903579297,100,20231017,20241203,4800,1319,36,20240515,300,874,-1047,3413,-419,294,3.5,16,9.882,63,64
N151589297,100,20231018,20241203,4500,1476,49,20240515,300,875,-1101,3893,-426,298,3.6,15,9.877,61.6,51
N125540397,100,20231030,20241203,10800,3634,43,20240823,300,2609,-2267,8757,-784,762,3.5,36,9.851,61.5,57
N516140397,100,20231030,20241203,10800,3631,43,20240823,300,2609,-2267,8757,-784,762,3.5,36,9.851,61.5,57
N723839297,100,20231012,20241203,4200,1097,39,20240801,300,927,-683,2545,-91,292,3.6,14,985,65.1,61
N052079297,100,20231016,20241203,4500,1212,45,20240515,300,862,-1086,3069,-333,265,3.2,15,985,63,55
N447869297,100,20231016,20241203,4500,1210,45,20240515,300,864,-1085,3090,-348,265,3.2,15,9.849,63,55
