Simu,DiasGain,DataInicio,DataFinal,InvIni,Saque,DrawdownPerct,DrawdownDate,RScontrato,MelhorDia,PiorDia,MelhorMes,PiorMes,MelhorMed10Dia,SQN,NroRobos,R2geral,AcertoGeral,MargemMin
N049590397,50,20231114,20241227,9600,3301,45,20240515,300,1750,-1554,6041,0,685,3.9,32,9.923,62.1,55
N398833397,50,20231226,20241227,10800,2570,47,20240515,300,2083,-2196,6869,-804,711,0.7,36,971,62.9,53
N703343397,50,20231227,20241227,10800,2572,53,20240515,300,2024,-2172,6851,-806,733,1,36,9.652,64,47
N372780397,67,20231112,20241230,9900,3458,53,20240515,300,2169,-1720,5975,0,729,3.6,33,994,63.1,47
N985030397,56,20231023,20241230,5100,1586,43,20240515,300,1148,-1065,2997,-34,324,3.4,17,9.936,65.2,57
N551820397,67,20231022,20241230,5100,1376,36,20240515,300,859,-994,2927,-351,298,3.4,17,9.926,65.5,64
N135199297,67,20231019,20241230,4800,1615,41,20240515,300,875,-1060,3893,-70,338,3.6,16,9.902,60.7,59
N897479297,62,20231017,20241230,4800,1568,41,20240515,300,875,-1060,3928,-810,334,3.4,16,9.901,60.3,59
N866798297,56,20231001,20241230,5400,1647,54,20241014,300,1199,-1166,3093,-50,311,3.4,18,0.99,64.8,46
N590820397,62,20231022,20241230,5100,1617,44,20240515,300,926,-1066,3706,-284,364,3.7,17,9.895,62.5,56
N903579297,75,20231017,20241230,4800,1319,36,20240515,300,874,-1047,3413,-419,294,3.2,16,989,62.3,64
N151589297,67,20231018,20241230,4500,1476,49,20240515,300,875,-1101,3893,-426,338,3.3,15,9.877,60.7,51
N052079297,78,20231016,20241230,4500,1212,45,20240515,300,862,-1086,3069,-333,265,3,15,9.859,62.6,55
N089590397,50,20231114,20241230,9600,2482,38,20240509,300,1532,-1354,5327,0,633,3.4,32,9.859,61.9,62
N197439297,67,20231009,20241230,4500,1011,51,20241014,300,891,-818,1855,-811,233,3.5,15,9.857,63,49
N447869297,75,20231016,20241230,4500,1210,45,20240515,300,864,-1085,3090,-348,265,3,15,9.857,62.6,55
N582589297,78,20231018,20241230,4500,1200,53,20240515,300,824,-1104,2949,-469,254,2.9,15,9.851,62.4,47
N567003397,67,20231217,20241230,10200,2614,45,20240515,300,1881,-2237,6847,-1701,565,2.2,34,972,65,55
N120843397,64,20231228,20241230,10500,2640,46,20240515,300,1929,-2271,6600,-944,559,2,35,9.711,63.6,54
N549743397,64,20231228,20241230,10500,2640,46,20240515,300,1929,-2271,6600,-944,559,2,35,9.711,63.6,54
N047533397,67,20231225,20241230,10800,2570,47,20240515,300,2083,-2196,6869,-804,711,0.7,36,971,63.1,53
N469662397,78,20231212,20241230,9900,2727,53,20240515,300,2068,-2036,7133,-1438,584,2.6,33,9.681,63.2,47
N856842397,67,20231210,20241230,10500,2775,51,20240515,300,2010,-1902,7054,-895,613,2.6,35,9.677,63.7,49
N041082397,62,20231213,20241230,10200,2617,53,20240515,300,1722,-2009,5925,-1744,638,2.6,34,9.663,62.3,47
N681891397,67,20231203,20241230,10500,2631,53,20240515,300,1835,-2169,6305,-1679,626,2.5,35,9.662,61.8,47
