Simu,DiasGain,DataInicio,DataFinal,InvIni,Saque,DrawdownPerct,DrawdownDate,RScontrato,MelhorDia,PiorDia,MelhorMes,PiorMes,MelhorMed10Dia,SQN,NroRobos,R2geral,AcertoGeral,MargemMin
N020958297,60,20230925,20241216,5400,1768,40,20240515,300,1497,-1186,3728,-138,381,3.5,18,9.933,63.9,60
N646309297,75,20231005,20241216,5100,1575,33,20240515,300,1129,-930,3199,0,359,3.2,17,9.932,64.6,67
N765009297,75,20231003,20241216,5100,1563,46,20240508,300,1091,-1066,3217,-343,334,3.3,17,9.909,65.6,54
N680209297,75,20231004,20241213,4800,1260,41,20241014,300,837,-936,2905,-434,289,3.8,16,9.906,64.3,59
N876030397,100,20231023,20241216,5100,1358,39,20240515,300,1029,-997,2746,-659,311,3.3,17,9.896,62.9,61
N446009297,75,20231003,20241216,5100,1312,44,20241014,300,1009,-1015,2638,-645,336,3.7,17,9.887,62.2,56
N749199297,75,20231020,20241216,4500,1242,43,20240515,300,905,-999,2996,-500,302,3.3,15,9.886,65.6,57
N723839297,75,20231012,20241216,4200,1097,39,20240801,300,927,-683,2545,-91,292,3.6,14,9.863,64.8,61
N374339297,75,20231008,20241216,4800,1137,45,20241014,300,895,-871,2741,-368,285,3.2,16,9.834,61.7,55
N930982397,62,20231214,20241216,9900,2522,49,20240515,300,1738,-2166,6074,-1912,583,2.5,33,9.653,61.5,51
N199812397,50,20231207,20241213,10500,2719,48,20240515,300,1626,-1937,5994,-1783,622,2.8,35,9.649,63.7,52
